CVE_ENT,CVE_MUN,NOM_MUN,clave,mun_hect,CN_T1,CN_T2,CN_T3,CN_T4,CN_T5,Pro_CN_T1,Prop_CN_T2,Prop_CN_T3,Prop_CN_T4,Prop_CN_T5
12,053,San Marcos,12053,116821.7440000000,71345.57200000000011642,62194.65400000000227010,49043.09500000000116415,48377.41599999999743886,48218.96536560000095051,0.61072168208685529,0.53238936408961668,0.41981135806361525,0.41411311236716336,0.41275676697310731
12,056,Tecoanapa,12056,70012.8942960158,45943.28300000000308501,41938.64699999999720603,38840.05299999999988358,31989.70400000000154250,31998.25251420000131475,0.65621173730871574,0.59901318780912882,0.55475571165196436,0.45691160637849004,0.45703370551874062
12,058,Teloloapan,12058,100363.4470000000,58069.18200000000069849,48524.40600000000267755,47483.55799999999726424,54963.47000000000116415,54700.63305080000282032,0.57858895579782155,0.48348684157888683,0.47311605389559802,0.54764430320931490,0.54502545185400020
12,059,Tepecoacuilco de Trujano,12059,85308.4792526234,49782.86299999999755528,39243.81599999999889405,38415.92100000000209548,46422.62099999999918509,46420.72185080000053858,0.58356289358503699,0.46002245431884403,0.45031773320257190,0.54417358516647585,0.54415132302774549
12,061,Tixtla de Guerrero,12061,38811.3608571964,25263.86899999999877764,25176.85299999999915599,26146.41200000000026193,26833.05400000000008731,26828.59331340000062482,0.65094004544073014,0.64869802150551770,0.67367934085598891,0.69137111936709161,0.69125618687048551
12,074,Zitlala,12074,30214.8495729114,22011.21500000000014552,21315.38300000000162981,15798.35800000000017462,16265.91300000000046566,16262.52090200000020559,0.72848997466907051,0.70546050373555191,0.52286733918290773,0.53834168397061699,0.53822941804680968
12,075,Eduardo Neri,12075,124824.3250000000,106420.93399999999382999,104621.38400000000547152,101182.78800000000046566,101910.08800000000337604,101915.24171000000205822,0.85256566778951137,0.83814900661389524,0.81060152338095959,0.81642811206870136,0.81646939977444299
12,035,Iguala de la Independencia,12035,56804.1018170148,25680.74499999999898137,21091.26499999999941792,21156.91500000000087311,25923.67699999999967986,25911.09603630000128760,0.45209314430719022,0.37129827469048077,0.37245400108875182,0.45636980729858062,0.45614832745297856
12,021,Coyuca de Bentez,12021,181565.1980000000,154815.82800000000861473,139573.95399999999790452,126294.76200000000244472,123302.74700000000302680,123523.62239200000476558,0.85267347325008835,0.76872636131512384,0.69558904124346566,0.67911002966548684,0.68032653698315027
12,005,Alpoyeca,12005,9333.4589108225,7133.17299999999977445,7208.05100000000038563,7197.89599999999973079,7072.51100000000042201,7072.93615437999960704,0.76425825282509308,0.77228078774118691,0.77119276666593206,0.75775884027294060,0.75780439191505544
12,008,Atenango del Ro,12008,55531.3989557944,39115.22600000000238651,35671.57499999999708962,35087.50800000000162981,39786.73900000000139698,39788.53334899999754271,0.70438034581368203,0.64236766353385488,0.63184988420571409,0.71647283785650917,0.71650515018851835
12,009,Atlamajalcingo del Monte,12009,14709.1865152282,10198.23300000000017462,9956.52900000000045111,10043.75400000000081491,9186.76499999999941792,9190.12486861000070348,0.69332406584428863,0.67689188587636406,0.68282185351323488,0.62455969203253214,0.62478811177597093
12,010,Atlixtac,12010,57435.7459297968,45301.08600000000296859,44307.33699999999953434,44077.68200000000069849,42719.38300000000162981,42703.19876010000007227,0.78872634570413891,0.77142442015389612,0.76742595201733355,0.74377693383168597,0.74349515391156817
12,012,Ayutla de los Libres,12012,105451.2370000000,89478.21899999999732245,84176.51900000000023283,83532.74700000000302680,60229.66500000000087311,60217.10535099999833619,0.84852697365702789,0.79825065494490122,0.79214572893061475,0.57116129420084472,0.57104219034433901
12,013,Azoy,12013,39775.3394445653,27013.82800000000133878,22355.20899999999892316,22200.54799999999886495,18473.42799999999988358,18463.95565519999945536,0.67916021276572747,0.56203691312694759,0.55814854907626354,0.46444425762214619,0.46420611145086832
12,018,Copala,12018,30010.3702008188,18746.33000000000174623,15422.52200000000084401,5347.96900000000005093,5720.03700000000026193,5703.37054606000037893,0.62466173774452571,0.51390642290641297,0.17820403294638754,0.19060201396129178,0.19004665746857030
12,019,Copalillo,12019,73296.2014097358,59531.37999999999738066,57375.90800000000308501,56541.39400000000023283,55564.83299999999871943,55566.03906840000126977,0.81220279980420040,0.78279510938446617,0.77140960803583614,0.75808612085345284,0.75810257557248062
12,020,Copanatoyac,12020,30462.8927226652,19041.06000000000130967,17125.88499999999839929,17174.83399999999892316,18044.01099999999860302,18049.66487459999916609,0.62505751418127631,0.56218840265481040,0.56379524283396321,0.59232756272600384,0.59251316146908695
12,024,Cualc,12024,23982.5368789384,20602.86000000000058208,18328.08899999999994179,18404.71500000000014552,18927.29899999999906868,18929.76007670000035432,0.85907759066529565,0.76422644912498106,0.76742152395742269,0.78921171248659938,0.78931433201815371
12,025,Cuautepec,12025,31485.6073204774,29624.04699999999866122,26916.95300000000133878,22635.92499999999927240,19600.71900000000096043,19876.57813370000076247,0.94087583251834905,0.85489705585237141,0.71892927995955147,0.62252948785435103,0.63129092386198959
12,030,Florencio Villarreal,12030,28503.3618571935,9590.59399999999914144,8234.17900000000008731,8362.59699999999975262,7697.93999999999959982,7686.35433794999971724,0.33647237992663609,0.28888448461815075,0.29338984790278344,0.27007130031074711,0.26966483379960199
12,033,Huamuxtitln,12033,27438.2983814989,22258.50500000000101863,21977.49399999999877764,21926.56100000000151340,21504.34400000000096043,21505.01004639999882784,0.81122031295528407,0.80097875219619985,0.79912247819218440,0.78373460704472675,0.78375888137802308
12,036,Igualapa,12036,19420.2101824929,18203.11500000000160071,16817.73400000000037835,16784.39500000000043656,15543.76000000000021828,15538.55409399999916786,0.93732842378863146,0.86599134828937108,0.86427463154497375,0.80039092542945411,0.80012285902074476
12,041,Malinaltepec,12041,47343.4822117930,42006.05900000000110595,41054.36299999999755528,40946.30000000000291038,42389.28199999999924330,42389.08266000000003260,0.88726171032549273,0.86715976692085361,0.86487723519839665,0.89535623531809116,0.89535202481242737
12,045,Olinal,12045,70201.6533690847,55319.96399999999994179,52623.82600000000093132,52633.89699999999720603,54634.43699999999807915,54630.01024960000358988,0.78801511567192983,0.74960949599478244,0.74975295415447918,0.77825000378210230,0.77818694614474548
12,046,Ometepec,12046,60459.5912180942,52099.22000000000116415,49083.12500000000000000,48935.34700000000157161,40267.93699999999807915,40247.72308239999983925,0.86171968665920895,0.81183355710996796,0.80938931299546646,0.66603058652418912,0.66569624887498013
12,052,San Luis Acatln,12052,110152.8020000000,95318.11299999999755528,92718.80599999999685679,96389.27099999999336433,93418.64200000000710133,93461.65535200000158511,0.86532626741533092,0.84172898298129539,0.87505055931305309,0.84808230298127152,0.84847279102350937
12,063,Tlacoapa,12063,28089.8977293172,23695.41100000000005821,23828.05800000000090222,23775.75100000000020373,23309.14500000000043656,23305.61597080000137794,0.84355632862519436,0.84827856012914027,0.84641643159794921,0.82980526396407750,0.82967963056968053
12,066,Tlapa de Comonfort,12066,60935.1866469469,38061.52700000000186265,37670.72200000000157161,37524.22600000000238651,40132.87799999999697320,40121.37759470000310102,0.62462312982686230,0.61820967609832467,0.61580554790801012,0.65861582130742213,0.65842708954285689
12,069,Xalpatlhuac,12069,22605.2368959403,12060.68599999999969441,11787.06899999999950523,11792.46299999999973807,12979.52499999999963620,12980.75451059999977588,0.53353504126143403,0.52143089914341278,0.52166951641713699,0.57418221537554459,0.57423660589600933
12,070,Xochihuehuetln,12070,26287.9175636701,22871.50500000000101863,22939.65499999999883585,22900.10699999999997090,21497.64600000000064028,21592.19927079999979469,0.87003867630840481,0.87263112205215521,0.87112670467469611,0.81777668192743214,0.82137351574171158
12,071,Xochistlahuaca,12071,45576.4994298824,45267.60899999999674037,45462.70199999999749707,45462.70599999999831198,45090.35899999999674037,45090.69879100000252947,0.99322259423724235,0.99750315554494318,0.99750324330947204,0.98933352855169776,0.98934098395095516
