CVE_ENT,CVE_MUN,NOM_MUN,clave,mun_hect,1976,1993,2002,2011,CN_T5,Pro_CN_T1,Prop_CN_T2,Prop_CN_T3,Prop_CN_T4,Prop_CN_T5
12,24,Cualc,12024,23982.5368789384,20602.86,18328.089,18404.715,18927.299,18929.7600767,0.8590775907,0.7642264491,0.767421524,0.7892117125,0.789314332
12,25,Cuautepec,12025,31485.6073204774,29624.047,26916.953,22635.925,19600.719,19876.5781337,0.9408758325,0.8548970559,0.71892928,0.6225294879,0.6312909239
12,30,Florencio Villarreal,12030,28503.3618571935,9590.594,8234.179,8362.597,7697.94,7686.35433795,0.3364723799,0.2888844846,0.2933898479,0.2700713003,0.2696648338
12,33,Huamuxtitln,12033,27438.2983814989,22258.505,21977.494,21926.561,21504.344,21505.0100464,0.811220313,0.8009787522,0.7991224782,0.783734607,0.7837588814
12,36,Igualapa,12036,19420.2101824929,18203.115,16817.734,16784.395,15543.76,15538.554094,0.9373284238,0.8659913483,0.8642746315,0.8003909254,0.800122859
12,41,Malinaltepec,12041,47343.482211793,42006.059,41054.363,40946.3,42389.282,42389.08266,0.8872617103,0.8671597669,0.8648772352,0.8953562353,0.8953520248
12,45,Olinal,12045,70201.6533690847,55319.964,52623.826,52633.897,54634.437,54630.0102496,0.7880151157,0.749609496,0.7497529542,0.7782500038,0.7781869461
12,46,Ometepec,12046,60459.5912180942,52099.22,49083.125,48935.347,40267.937,40247.7230824,0.8617196867,0.8118335571,0.809389313,0.6660305865,0.6656962489
12,52,San Luis Acatln,12052,110152.802,95318.113,92718.806,96389.271,93418.642,93461.655352,0.8653262674,0.841728983,0.8750505593,0.848082303,0.848472791
12,63,Tlacoapa,12063,28089.8977293172,23695.411,23828.058,23775.751,23309.145,23305.6159708,0.8435563286,0.8482785601,0.8464164316,0.829805264,0.8296796306
12,66,Tlapa de Comonfort,12066,60935.1866469469,38061.527,37670.722,37524.226,40132.878,40121.3775947,0.6246231298,0.6182096761,0.6158055479,0.6586158213,0.6584270895
12,69,Xalpatlhuac,12069,22605.2368959403,12060.686,11787.069,11792.463,12979.525,12980.7545106,0.5335350413,0.5214308991,0.5216695164,0.5741822154,0.5742366059
12,70,Xochihuehuetln,12070,26287.9175636701,22871.505,22939.655,22900.107,21497.646,21592.1992708,0.8700386763,0.8726311221,0.8711267047,0.8177766819,0.8213735157
12,71,Xochistlahuaca,12071,45576.4994298824,45267.609,45462.702,45462.706,45090.359,45090.698791,0.9932225942,0.9975031555,0.9975032433,0.9893335286,0.989340984
12,72,Zapotitln Tablas,12072,22875.3652842374,15945.206,15946.144,16042.959,15789.484,15794.462561,0.6970470549,0.6970880597,0.7013203418,0.6902396444,0.690457283
12,76,Acatepec,12076,63414.6066276483,49109.234,48668.767,48701.389,45839.297,45836.6477224,0.7744151799,0.7674693511,0.7679837752,0.7228507664,0.7228089893
12,77,Marquelia,12077,20882.2937571344,18010.926,15375.431,15632.788,10436.947,9871.06950766,0.8624974923,0.7362903318,0.7486145048,0.4997988785,0.4727004429
12,79,Jos Joaquin de Herrera,12079,13241.2305967766,6049.187,5632.886,5627.847,6291.443,6289.81575994,0.456844774,0.4254050225,0.4250244688,0.4751403545,0.4750174626
12,80,Juchitn,12080,25651.1908118766,13543.611,11713.253,11669.923,7289.531,6864.70674309,0.5279915112,0.4566358375,0.4549466372,0.2841790486,0.2676174683
12,81,Iliatenco,12081,23949.8986410475,23929.98,23932.418,23896.489,23907.008,23907.8552434,0.9991683204,0.9992701163,0.9977699429,0.9982091515,0.9982445271
12,23,Cuajinicuilapa,12023,63362.5417960338,14586.194,11405.744,11529.865,12773.748,12794.6289381,0.2302021602,0.1800076777,0.1819665795,0.2015977838,0.2019273308
12,62,Tlacoachistlahuaca,12062,80114.2138927751,75656.67,74030.886,74079.722,70927.324,70928.7924109,0.9443601369,0.9240668092,0.9246763889,0.8853275911,0.8853459201
12,65,Tlalixtaquilla de Maldonado,12065,11586.1151132916,8587.595,8649.864,8631.947,8413.667,8419.81299865,0.7411971067,0.746571557,0.745025137,0.7261853449,0.7267158074
12,4,Alcozauca de Guerrero,12004,47153.089099333,36144.025,34953.311,35028.702,34350.421,34354.4158925,0.7665250716,0.7412729827,0.7428718387,0.728487182,0.7285719037
12,43,Metlatnoc,12043,60641.1271236407,52617.634,51066.486,51074.416,50575.219,50576.6959702,0.8676889183,0.8421097764,0.8422405457,0.8340085582,0.8340329141
12,78,Cochoapa el Grande,12078,62017.2313854969,54487.925,53254.17,53317.538,54699.989,54704.9124419,0.8785933164,0.8586995712,0.8597213518,0.8820127532,0.8820921415
12,2,Ahuacuotzingo,12002,87105.0315849659,74232.244,72591.345,72395.555,70096.173,70097.9511418,0.8522153388,0.8333771733,0.8311294271,0.804731618,0.8047520317
12,48,Petatln,12048,197694.292,157799.994,133281.911,113783.826,117727.1,111355.638958,0.7982020745,0.6741818879,0.5755544323,0.5955007543,0.5632718974
12,3,Ajuchitln del Progreso,12003,199025.17,154235.663,144803.262,144773.697,132923.33,132894.108333,0.7749555647,0.727562559,0.72741401,0.6678719581,0.6677251341
12,7,Arcelia,12007,75286.1320594422,56491.054,50645.664,50932.719,46074.06,46170.0022425,0.7503513921,0.6727090716,0.6765219252,0.6119860157,0.6132603838
12,11,Atoyac de lvarez,12011,144782.524,128398.958,117285.648,107680.524,106282.922,107521.806112,0.8868401686,0.8100815261,0.74373979,0.7340866775,0.7426435397
12,14,Benito Jurez,12014,23208.8071656328,3119.385,1035.832,2064.782,2526.285,2528.32244537,0.1344052272,0.0446309883,0.0889654511,0.1088502732,0.1089380608
12,16,Coahuayutla de Jos Mara Izazaga,12016,263766.993,215096.648,203758.837,150524.353,210187.436,210363.911344,0.8154797746,0.7724955829,0.5706716799,0.7968678477,0.7975369054
12,27,Cutzamala de Pinzn,12027,133037.884,82099.428,76490.574,73678.325,72386.593,69602.1012314,0.6171131525,0.5749533268,0.5538146187,0.5441051137,0.5231750471
12,54,San Miguel Totolapan,12054,236849.999,214795.094,193946.197,198511.434,184765.594,185109.514518,0.9068823935,0.8188566511,0.8381314538,0.780095397,0.7815474575
12,57,Tcpan de Galeana,12057,284813.719,234881.312,207961.017,164818.339,165275.187,164240.366114,0.8246839823,0.7301650276,0.5786882022,0.580292226,0.5766589007
12,64,Tlalchapa,12064,46936.1954380137,28589.065,25619.324,24654.187,24383.091,24125.3853267,0.6091048653,0.5458329922,0.5252702476,0.5194944067,0.5140038536
12,67,Tlapehuala,12067,28591.6070190049,16604.291,15874.575,16084.776,12057.195,12056.7666555,0.5807400399,0.5552180047,0.5625698475,0.4217039984,0.4216890169
12,22,Coyuca de Cataln,12022,335002.293,256836.687,238998.268,235518.624,218676,215469.700003,0.7666714299,0.7134227825,0.7030358565,0.6527597111,0.6431887319
12,73,Zirndaro,12073,213969.189,162482.398,145505.357,145225.323,144473.194,141127.579136,0.759372874,0.6800294831,0.6787207246,0.675205597,0.6595696315
12,68,La Unin de Isidoro Montes de Oca,12068,175679.54,153985.281,133571.071,97810.302,133820.013,132968.45732,0.876512319,0.7603109104,0.5567540876,0.7617279337,0.7568807234
12,37,Ixcateopan de Cuauhtmoc,12037,21193.8114717983,17155.335,14653.695,14536.744,15854.454,15851.870945,0.8094502031,0.6914138601,0.6858956927,0.7480699742,0.7479480964
12,47,Pedro Ascencio Alquisiras,12047,29452.2945388338,13377.493,10879.31,10306.605,13891.017,13881.870798,0.4542088557,0.3693875187,0.3499423444,0.4716446449,0.471334102
12,49,Pilcaya,12049,16265.8480892459,8196.49,7489.771,7272.296,8205.835,8202.76743166,0.5039079398,0.4604599132,0.4470898757,0.5044824564,0.5042938669
